"CountryOfResidence","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","Occupation","OccupationYears","OccupationMonths","CommunitySize","MaritalStatus","NumberSons","NumberDaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","P1","P2","DPmean","AIPmean","GPmean","SWLSmean","HDI","Category"
"United States",23,"Male","No Kids","deg","part-time",10000,"",3,2,"Large Town","Single",0,0,5,4,5,5,5,2,3,4,5,5,1,3,5,5,5,3,5,3,2,5,5,1,5,5,4,3,5,4,5,1,2,5,2,5,5,5,5,4,5,4,2,3,1,3,1,"yes","no",4.8,3.73333333333333,4,2,0.92,"Very High"
"United States",37,"Female","No Kids","deg","unemployed",NA,"",0,0,"Village","Divorced",0,0,4,4,2,3,3,1,1,3,4,3,3,3,3,2,3,2,2,2,3,2,3,1,3,5,2,2,4,2,4,4,4,4,2,3,2,3,4,5,5,5,1,2,2,1,3,"yes","yes",3.2,2.46666666666667,3.35,1.8,0.92,"Very High"
"United States",25,"Male","No Kids","deg","student",25000,"",1,0,"Village","Single",0,0,4,4,4,4,4,1,1,2,3,2,4,2,4,2,3,4,2,4,2,2,4,3,3,2,3,2,3,5,4,2,3,4,2,3,3,3,3,4,2,3,1,2,2,2,2,"yes","no",4,2.53333333333333,3.05,1.8,0.92,"Very High"
"United States",55,"Female","Yes Kids","ma","full-time",67500,"",0,0,"Medium-Sized","Married",1,1,3,3,3,2,2,2,2,3,5,1,2,3,2,2,3,4,3,4,4,3,4,1,3,5,2,4,4,4,4,4,4,5,3,3,3,5,5,3,4,3,5,5,5,5,5,"yes","no",2.6,2.86666666666667,3.65,5,0.92,"Very High"
"United States",37,"Female","Yes Kids","high","unemployed",67500,"",0,0,"Large Town","Married",1,1,1,2,3,1,1,1,2,5,2,2,2,3,3,3,4,2,4,2,1,1,2,1,2,1,1,2,2,2,1,1,5,1,1,1,2,1,2,2,1,3,4,4,4,3,4,"no","yes",1.6,2.46666666666667,1.7,3.8,0.92,"Very High"
"United States",32,"Male","Yes Kids","deg","full-time",87500,"",2,0,"Small Town","Divorced",1,0,5,5,5,5,5,2,2,2,5,5,1,5,4,4,5,5,3,4,4,5,5,1,3,4,3,3,5,3,5,5,4,5,4,5,5,4,4,4,5,5,3,4,3,3,3,"yes","yes",5,3.73333333333333,4.1,3.2,0.92,"Very High"
"United States",28,"Female","No Kids","ltuni","full-time",150000,"",10,0,"Village","Single",0,0,5,5,3,4,3,1,5,5,5,4,4,5,5,4,5,3,5,3,4,5,5,4,4,5,3,3,5,3,5,5,5,5,2,3,5,4,5,5,5,5,4,4,3,3,2,"yes","yes",4,4.2,4.3,3.2,0.92,"Very High"
"United States",55,"Female","No Kids","ltuni","part-time",15000,"",5,0,"Medium-Sized","Married",0,0,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,3,4,4,3,3,1,3,3,4,3,4,2,4,4,4,3,4,4,3,4,4,4,3,3,3,4,3,"yes","yes",3,3.53333333333333,3.4,3.2,0.92,"Very High"
"United States",55,"Male","Yes Kids","dip","full-time",25000,"",7,0,"8","Married",0,1,2,1,3,3,5,5,1,5,1,4,1,2,3,4,4,5,1,3,1,5,3,1,5,3,4,5,2,2,2,1,3,2,3,5,3,5,4,5,4,4,1,1,1,1,1,"yes","yes",2.8,3,3.3,1,0.92,"Very High"
"United States",55,"Male","No Kids","ma","full-time",67500,"",5,0,"Village","Single",0,0,4,2,3,2,2,1,2,3,3,2,2,3,3,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,"yes","yes",2.6,2.4,2.3,2.8,0.92,"Very High"
"United States",32,"Female","Yes Kids","dip","unemployed",10000,"",0,0,"Small Town","Separated",0,1,4,5,4,5,5,3,3,3,4,4,4,5,5,4,4,5,4,4,4,5,5,5,4,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,4,1,1,1,1,1,"yes","yes",4.6,4.06666666666667,4.7,1,0.92,"Very High"
"United States",67,"Female","Yes Kids","","part-time",NA,"",6,0,"Village","Married",3,0,4,4,5,3,2,1,2,2,5,5,4,4,4,3,5,4,4,2,2,1,5,2,1,4,5,2,4,4,4,1,5,4,1,1,4,5,5,5,5,1,5,5,4,4,4,"yes","no",3.6,3.2,3.4,4.4,0.92,"Very High"
"United States",45,"Female","No Kids","deg","full-time",150000,"",0,0,"Small Town","Married",0,0,2,4,3,2,2,1,1,1,2,2,3,1,3,1,2,3,2,2,1,1,3,2,3,1,3,2,3,3,4,1,1,4,2,2,3,2,2,4,3,3,4,3,4,4,4,"yes","no",2.6,1.73333333333333,2.55,3.8,0.92,"Very High"
"United States",37,"Female","No Kids","phd","student",25000,"",2,0,"Small Town","Divorced",0,0,4,4,4,5,5,2,5,5,5,5,3,5,5,5,5,2,5,2,5,5,5,4,4,4,4,3,2,4,5,4,5,5,2,3,5,5,4,5,5,5,2,3,3,1,1,"yes","yes",4.4,4.26666666666667,4.15,2,0.92,"Very High"
"United States",45,"Female","No Kids","ma","full-time",87500,"",NA,0,"Village","Single",0,0,5,5,5,5,5,1,1,4,3,2,5,3,4,1,2,3,2,2,3,3,3,1,1,1,3,1,5,4,5,1,2,4,1,1,3,3,1,4,5,4,1,1,1,1,1,"yes","no",5,2.6,2.65,1,0.92,"Very High"
"United States",28,"Male","No Kids","ma","student",25000,"",4,9,"Large Town","Married",0,0,3,3,3,2,2,2,2,5,1,2,1,1,3,3,2,4,3,3,1,3,3,1,2,3,4,3,3,3,4,2,2,3,4,4,4,4,3,4,3,4,4,4,4,4,4,"yes","no",2.6,2.4,3.15,4,0.92,"Very High"
"United States",37,"Female","No Kids","phd","full-time",67500,"",6,0,"Small Town","Married",0,0,3,4,4,2,2,1,1,2,4,2,1,3,2,1,2,5,3,5,4,2,5,1,1,4,3,2,2,4,4,3,3,4,2,3,2,4,3,4,4,4,4,4,4,4,2,"yes","yes",3,2.53333333333333,3.1,3.6,0.92,"Very High"
"United States",55,"Male","Yes Kids","deg","unemployed",10000,"",0,0,"Small Town","Married",3,0,3,4,5,5,5,1,1,4,4,5,3,5,5,2,5,5,2,3,1,5,5,3,3,5,5,2,4,4,5,3,3,4,3,4,5,5,4,5,5,4,1,1,1,1,1,"yes","yes",4.4,3.4,4.05,1,0.92,"Very High"
"United States",55,"Female","Yes Kids","high","unemployed",87500,"",0,0,"Small Town","Married",2,3,5,4,2,4,4,5,1,3,1,3,5,2,3,4,5,4,2,1,1,5,5,3,1,1,3,5,5,3,1,1,4,3,5,3,3,4,3,5,5,5,5,4,2,4,1,"yes","yes",3.8,3,3.4,3.2,0.92,"Very High"
"United States",22,"Male","No Kids","dip","full-time",25000,"",0,8,"Village","Single",0,0,3,3,2,2,2,3,3,4,3,3,2,3,3,3,3,3,3,4,3,2,3,1,3,4,1,1,4,4,4,3,4,3,3,2,3,4,4,4,4,3,2,3,3,2,1,"yes","yes",2.4,3,3.1,2.2,0.92,"Very High"
"United States",28,"Male","No Kids","ma","full-time",15000,"",0,9,"Large Town","Single",0,0,3,4,4,4,4,1,1,2,1,2,1,3,4,1,4,2,1,4,1,2,3,2,3,5,3,4,4,4,5,2,4,5,3,4,5,5,4,4,4,3,1,2,2,1,2,"yes","yes",3.8,2,3.8,1.6,0.92,"Very High"
"United States",55,"Male","Yes Kids","ma","full-time",150000,"",4,0,"8","Married",0,1,3,3,2,2,2,2,2,5,3,2,1,2,3,2,2,4,2,3,1,3,3,1,2,3,2,2,2,3,3,1,3,3,4,2,2,3,3,2,3,2,3,3,3,3,3,"no","no",2.4,2.46666666666667,2.45,3,0.92,"Very High"
"United States",20,"Female","No Kids","ltuni","student",NA,"",2,0,"","Single",0,0,3,4,1,2,2,1,2,2,4,3,1,5,2,2,5,1,1,1,5,2,5,4,1,5,2,5,4,1,5,1,3,5,1,2,4,2,2,3,5,2,3,3,4,4,2,"yes","yes",2.4,2.46666666666667,3.1,3.2,0.92,"Very High"
"United States",25,"Female","No Kids","deg","student",10000,"",2,0,"Large Town","Single",0,0,4,3,5,3,3,3,3,3,4,2,3,4,4,2,4,5,3,4,3,3,5,2,3,5,4,4,3,4,5,1,3,4,3,4,5,5,5,4,4,4,1,3,2,2,4,"yes","yes",3.6,3.33333333333333,3.85,2.4,0.92,"Very High"
"United States",55,"Female","Yes Kids","high","retired",15000,"",6,0,"Small Town","Divorced",1,0,3,3,4,3,2,2,1,4,2,1,1,4,3,2,4,2,2,3,3,2,3,3,3,1,3,2,3,3,5,2,3,4,2,2,3,5,4,2,4,3,3,2,2,3,4,"yes","yes",3,2.4,3,2.8,0.92,"Very High"
"United States",28,"Female","No Kids","deg","full-time",35000,"",2,0,"Village","Married",0,0,2,3,4,3,3,1,1,2,4,3,2,3,4,2,4,2,2,3,2,3,3,1,1,3,1,1,3,4,3,3,3,3,1,1,4,3,3,4,3,3,3,2,2,3,4,"yes","yes",3,2.53333333333333,2.55,2.8,0.92,"Very High"
"United States",28,"Male","No Kids","ltuni","full-time",25000,"",7,6,"Large Town","Divorced",0,0,5,4,4,4,4,4,3,4,4,5,5,5,5,4,5,4,3,4,3,4,2,5,3,5,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,4,1,2,1,1,1,"yes","yes",4.2,4.13333333333333,4.1,1.2,0.92,"Very High"
"United States",28,"Male","No Kids","ltuni","student",10000,"",0,1,"Small Town","Married",0,0,2,4,2,2,2,3,2,2,2,3,5,4,4,4,4,1,1,3,1,4,4,2,2,1,2,4,4,1,4,2,2,4,2,2,4,4,4,4,4,4,2,2,2,3,1,"yes","yes",2.4,2.86666666666667,3,2,0.92,"Very High"
"United States",67,"Male","No Kids","deg","retired",35000,"",12,0,"Village","Widowed",0,0,5,5,5,5,5,1,1,4,3,5,4,5,4,5,5,3,2,2,3,5,5,2,2,3,1,1,5,4,4,2,3,5,2,3,4,4,3,4,4,4,2,4,3,4,2,"yes","yes",5,3.46666666666667,3.25,3,0.92,"Very High"
"United States",55,"Female","No Kids","phd","full-time",55000,"",3,7,"Small Town","Divorced",0,0,4,3,5,2,2,1,1,1,1,2,3,1,2,2,3,3,1,3,1,2,3,1,2,1,1,1,2,4,4,1,1,3,2,2,3,2,1,3,4,4,4,4,4,3,3,"yes","no",3.2,1.8,2.25,3.6,0.92,"Very High"
"United States",45,"Female","Yes Kids","ma","full-time",87500,"",5,0,"Large Town","Married",2,0,5,5,5,5,5,5,5,2,5,4,3,5,2,1,5,5,5,5,5,5,5,3,4,3,5,5,5,5,4,5,5,5,4,5,5,5,4,3,3,2,3,3,2,4,2,"no","yes",5,4.13333333333333,4.25,2.8,0.92,"Very High"
"United States",37,"Female","No Kids","phd","full-time",45000,"",1,0,"Small Town","",0,0,5,5,5,5,5,3,4,5,5,5,3,5,4,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,4,2,2,3,3,2,"yes","yes",5,4.53333333333333,4.55,2.4,0.92,"Very High"
"United States",55,"Male","Yes Kids","deg","part-time",87500,"",0,0,"Village","Married",1,2,3,3,3,3,3,2,2,2,3,3,4,4,3,2,3,2,4,2,4,4,3,2,4,3,2,2,3,3,3,2,4,2,2,2,2,3,3,4,2,3,3,3,3,4,4,"no","no",3,2.93333333333333,2.7,3.4,0.92,"Very High"
"United States",45,"Male","No Kids","deg","full-time",45000,"",2,0,"Large Town","Divorced",0,0,4,4,4,4,4,1,1,3,2,3,2,2,2,1,3,4,3,4,2,3,4,5,2,4,4,3,4,4,3,2,1,4,2,5,3,5,5,5,4,5,4,3,3,4,2,"yes","no",4,2.4,3.7,3.2,0.92,"Very High"
"United States",55,"Male","No Kids","ltuni","full-time",55000,"",14,0,"Village","Single",0,0,5,5,3,4,4,1,3,5,5,4,5,5,5,2,4,4,4,1,5,5,5,3,2,1,2,4,4,4,4,4,2,4,2,4,5,5,4,5,4,4,2,2,2,2,2,"yes","yes",4.2,3.86666666666667,3.6,2,0.92,"Very High"
"United States",55,"Male","No Kids","phd","full-time",87500,"",9,9,"Village","Single",0,0,3,3,3,3,4,2,2,5,3,4,5,3,3,4,4,1,2,2,3,4,4,1,2,4,3,3,4,3,4,3,2,4,3,4,5,2,2,4,4,4,2,3,2,2,2,"yes","no",3.2,3.13333333333333,3.25,2.2,0.92,"Very High"
"United States",55,"Male","Yes Kids","ltuni","part-time",NA,"",1,0,"Large-City","Married",2,1,2,3,3,3,3,4,1,5,4,3,1,4,4,2,3,3,2,4,2,2,5,4,2,4,4,4,4,4,3,2,2,2,5,2,3,5,4,3,4,3,1,3,1,3,1,"yes","yes",2.8,2.93333333333333,3.45,1.8,0.92,"Very High"
"United States",67,"Female","No Kids","ma","retired",NA,"",6,0,"Village","Single",0,0,3,3,2,2,2,1,1,5,1,3,3,1,3,1,2,4,1,5,1,2,3,1,1,3,1,3,4,1,4,1,3,3,1,3,3,3,1,4,3,4,1,1,1,2,3,"yes","no",2.4,2.26666666666667,2.5,1.6,0.92,"Very High"
"United States",55,"Male","No Kids","ma","part-time",87500,"",0,0,"Small Town","Divorced",0,0,3,3,2,2,2,2,1,2,3,2,2,3,3,1,2,3,2,3,2,4,3,1,1,2,2,2,2,2,5,1,1,4,3,3,4,2,3,4,2,3,2,3,3,2,2,"yes","yes",2.4,2.33333333333333,2.5,2.4,0.92,"Very High"
"United States",55,"Female","No Kids","ma","part-time",67500,"",6,7,"Medium-Sized","Divorced",0,0,5,3,4,2,3,2,1,5,4,4,4,3,3,2,4,3,2,1,1,4,4,4,2,1,4,3,4,3,4,4,3,4,4,4,3,5,3,5,5,4,3,4,3,4,3,"yes","no",3.4,2.86666666666667,3.65,3.4,0.92,"Very High"
"United States",19,"Female","No Kids","ltuni","student",10000,"",NA,0,"Village","Single",0,0,3,2,2,2,1,1,1,3,2,1,2,4,3,1,5,1,2,3,1,2,3,2,2,3,3,2,4,3,4,3,3,4,1,2,3,3,2,4,3,4,4,5,3,4,4,"yes","yes",2,2.13333333333333,2.9,4,0.92,"Very High"
"United States",45,"Female","No Kids","phd","unemployed",150000,"",2,0,"Rural/Country","Single",0,0,5,4,5,4,4,2,2,2,4,5,4,2,4,2,4,2,3,1,3,5,4,3,2,4,5,3,3,3,5,2,2,5,4,5,3,3,2,3,5,5,1,1,1,2,1,"yes","yes",4.4,3,3.55,1.2,0.92,"Very High"
"United States",32,"Male","No Kids","ltuni","part-time",25000,"",0,9,"Medium-Sized","Single",0,0,5,4,4,3,3,4,2,4,3,4,3,4,5,4,4,4,3,3,3,5,4,2,3,5,4,3,5,4,5,2,4,5,4,3,3,3,4,4,5,4,2,2,2,2,1,"yes","yes",3.8,3.66666666666667,3.8,1.8,0.92,"Very High"
"United States",25,"Female","Yes Kids","ltuni","student",NA,"",6,0,"Medium-Sized","Married",2,1,2,4,3,1,1,2,1,2,1,3,1,2,2,1,2,1,1,2,1,4,3,1,4,1,5,1,1,1,2,1,3,1,5,1,2,4,3,2,2,3,3,3,3,1,1,"yes","no",2.2,1.73333333333333,2.3,2.2,0.92,"Very High"
"United States",45,"Female","Yes Kids","deg","full-time",35000,"",2,0,"Small Town","Divorced",1,3,4,4,3,3,3,2,1,5,2,3,3,4,4,3,5,3,1,3,1,3,4,3,4,2,2,2,3,4,4,2,4,3,2,3,4,4,4,3,4,3,3,4,4,4,3,"yes","yes",3.4,2.86666666666667,3.2,3.6,0.92,"Very High"
"United States",19,"Male","No Kids","ltuni","part-time",10000,"",1,1,"Village","Single",0,0,3,3,3,1,1,1,1,1,3,2,4,4,1,2,3,3,1,3,2,1,5,1,2,4,2,3,4,4,5,1,3,5,2,4,4,2,3,3,5,4,1,1,1,1,4,"yes","yes",2.2,2.13333333333333,3.3,1.6,0.92,"Very High"
"United States",67,"Male","No Kids","phd","retired",67500,"",NA,0,"Rural/Country","Married",0,0,4,4,4,3,4,1,2,5,5,4,4,5,5,3,5,3,4,5,4,4,4,4,4,5,3,4,4,5,5,5,3,5,4,4,5,4,4,5,4,4,4,4,4,5,1,"yes","yes",3.8,3.93333333333333,4.25,3.6,0.92,"Very High"
"United States",45,"Female","No Kids","deg","part-time",35000,"",6,6,"Small Town","Married",0,0,5,5,2,2,2,2,4,3,4,5,5,5,5,5,5,2,5,5,4,5,5,4,3,3,5,4,5,2,5,2,5,5,5,3,4,4,4,5,5,5,4,4,3,5,3,"yes","yes",3.2,4.26666666666667,4.15,3.8,0.92,"Very High"
"United States",23,"Male","No Kids","ltuni","part-time",15000,"",1,4,"Medium-Sized","Single",0,0,4,2,3,3,3,2,2,5,4,2,2,4,3,2,2,2,3,2,4,2,2,3,2,4,3,2,4,3,4,2,4,3,2,3,4,4,2,3,4,2,3,3,3,2,3,"yes","no",3,2.73333333333333,3,2.8,0.92,"Very High"
"United States",55,"Female","No Kids","deg","unemployed",87500,"",0,0,"Small Town","Single",0,0,2,2,2,2,1,1,1,1,3,2,3,1,2,1,5,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,2,3,3,3,3,3,3,"no","no",1.8,2.06666666666667,1.9,3,0.92,"Very High"
"United States",55,"Male","Yes Kids","deg","full-time",150000,"",0,0,"Medium-Sized","Divorced",1,0,2,3,3,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,"no","no",2.4,2,2.05,4,0.92,"Very High"
"United States",28,"Male","No Kids","ma","full-time",45000,"",0,1,"Village","Single",0,0,3,2,2,2,2,1,2,3,3,2,1,2,3,3,2,2,3,2,3,1,3,1,3,5,3,2,3,3,4,2,4,3,1,4,4,4,3,3,3,3,3,4,3,4,4,"yes","no",2.2,2.2,3.05,3.6,0.92,"Very High"
"United States",28,"Female","No Kids","deg","full-time",35000,"",0,10,"Village","Single",0,0,2,2,2,1,1,1,1,3,2,1,3,2,2,1,3,3,3,5,2,3,3,2,2,4,2,2,4,1,4,2,2,4,2,2,2,2,2,3,4,3,2,2,3,2,2,"yes","no",1.6,2.33333333333333,2.6,2.2,0.92,"Very High"
"United States",37,"Female","Yes Kids","ma","full-time",35000,"",0,0,"Large Town","Divorced",0,1,3,2,2,1,1,2,3,3,3,2,2,2,3,2,3,3,4,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,4,4,2,3,4,2,3,3,2,3,3,2,"yes","no",1.8,2.66666666666667,2.8,2.6,0.92,"Very High"
"United States",20,"Male","No Kids","ltuni","student",10000,"",0,0,"Village","Single",0,0,3,4,4,3,3,2,1,1,3,2,1,2,4,4,3,4,4,4,2,1,2,1,3,4,4,4,3,4,4,1,4,3,2,3,4,3,3,4,5,4,2,2,2,2,2,"yes","no",3.4,2.53333333333333,3.25,2,0.92,"Very High"
"United States",67,"Female","Yes Kids","phd","part-time",45000,"",7,0,"Small Town","Married",2,0,4,4,4,3,3,2,2,5,4,3,2,2,5,2,4,3,4,2,2,5,5,3,5,4,3,3,5,5,5,3,5,4,2,4,5,4,2,5,4,5,4,5,4,4,2,"yes","yes",3.6,3.13333333333333,4.05,3.8,0.92,"Very High"
"United States",37,"Female","Yes Kids","deg","part-time",25000,"",0,6,"Rural/Country","Married",1,2,5,5,5,4,4,4,2,5,5,4,5,5,5,3,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,2,3,5,4,5,5,5,5,5,4,5,1,1,1,1,1,"yes","yes",4.6,4.26666666666667,4.65,1,0.92,"Very High"
"United States",67,"Female","Yes Kids","ma","part-time",45000,"",0,0,"","Married",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,2,1,2,2,1,2,1,1,1,3,5,5,5,5,4,"no","no",1,1.06666666666667,1.55,4.8,0.92,"Very High"
"United States",21,"Male","No Kids","ltuni","student",10000,"",0,0,"Large Town","Single",0,0,4,4,3,3,3,2,3,5,5,3,3,5,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,5,"yes","yes",3.4,3.66666666666667,3.65,4.2,0.92,"Very High"
"United States",55,"Female","Yes Kids","phd","full-time",25000,"",4,0,"Small Town","Married",0,1,4,4,4,3,3,1,2,5,5,5,3,4,5,3,4,2,4,3,4,3,4,2,4,3,3,4,3,4,4,3,3,4,2,3,5,4,4,5,5,5,3,2,3,2,2,"yes","yes",3.6,3.53333333333333,3.7,2.4,0.92,"Very High"
"United States",25,"Male","No Kids","ma","student",15000,"",6,0,"Large Town","Married",0,0,3,3,2,2,2,1,3,3,3,3,2,3,5,2,4,4,4,2,4,4,3,3,3,4,3,3,4,3,4,2,4,4,3,4,4,5,3,5,3,4,5,5,4,5,4,"yes","yes",2.4,3.13333333333333,3.55,4.6,0.92,"Very High"
"United States",45,"Male","No Kids","dip","full-time",55000,"",0,0,"Village","Divorced",0,0,4,5,5,3,3,2,4,5,4,5,4,5,5,5,5,5,5,3,5,5,5,3,4,4,5,5,5,3,5,5,4,5,3,3,5,3,3,5,4,5,3,3,3,4,3,"yes","yes",4,4.46666666666667,4.2,3.2,0.92,"Very High"
"United States",80,"Female","Yes Kids","phd","retired",67500,"",0,0,"Rural/Country","Divorced",1,0,3,2,1,2,2,1,1,3,3,3,3,2,3,2,3,2,1,3,1,4,5,1,1,1,3,1,4,3,3,1,4,4,1,2,4,5,2,3,4,3,3,3,4,5,3,"yes","yes",2,2.33333333333333,2.75,3.6,0.92,"Very High"
"United States",37,"Male","Yes Kids","phd","full-time",150000,"",2,0,"Small Town","Married",1,0,4,4,4,3,3,1,1,5,3,2,1,2,2,1,2,5,2,3,2,3,3,2,3,2,4,3,3,4,4,3,4,3,4,4,4,5,5,2,2,3,4,4,4,4,4,"yes","no",3.6,2.33333333333333,3.35,4,0.92,"Very High"
"United States",45,"Male","Yes Kids","deg","full-time",150000,"",10,0,"Village","Married",0,2,4,5,3,2,2,1,4,5,5,5,1,5,3,3,5,4,5,4,5,5,4,3,4,4,3,3,3,3,5,5,5,4,2,4,4,4,4,4,2,2,3,3,3,3,3,"yes","yes",3.2,4,3.6,3,0.92,"Very High"
"United States",22,"Female","Yes Kids","ltuni","part-time",10000,"",1,0,"Rural/Country","Married",2,0,3,3,2,1,1,3,1,5,5,1,5,1,2,1,5,1,4,5,1,2,3,1,5,5,3,1,2,2,4,1,1,2,2,5,2,5,5,3,5,2,3,1,2,2,1,"yes","yes",2,2.8,2.95,1.8,0.92,"Very High"
"United States",28,"Male","No Kids","deg","full-time",35000,"",0,6,"Small Town","Single",0,0,2,2,3,2,2,2,3,4,4,3,5,5,3,3,3,4,4,3,4,4,3,2,2,3,3,2,2,3,4,2,3,4,3,3,3,4,4,4,5,3,3,3,3,2,3,"yes","yes",2.2,3.6,3.1,2.8,0.92,"Very High"
"United States",45,"Male","Yes Kids","phd","full-time",250000,"",0,0,"Village","Married",3,1,3,3,3,2,3,2,2,3,3,2,3,3,4,2,3,4,3,3,3,3,3,2,3,3,2,3,3,3,4,2,3,3,4,4,3,3,3,3,2,2,3,3,3,4,4,"yes","yes",2.8,2.86666666666667,2.9,3.4,0.92,"Very High"
"United States",55,"Female","Yes Kids","phd","full-time",150000,"",0,0,"Small Town","Separated",0,1,3,3,3,3,3,4,4,5,4,4,4,3,4,4,5,5,4,4,3,4,4,2,4,5,2,5,4,2,5,4,5,5,4,5,4,3,3,1,5,3,2,4,2,3,2,"yes","yes",3,4.06666666666667,3.75,2.6,0.92,"Very High"
"United States",23,"Female","No Kids","deg","full-time",15000,"",0,5,"Small Town","Single",0,0,5,5,5,3,3,2,1,5,3,3,1,4,4,2,4,3,2,4,2,2,4,2,4,1,5,5,5,5,5,3,4,5,3,4,4,4,4,5,5,5,2,2,2,3,1,"yes","yes",4.2,2.8,4.1,2,0.92,"Very High"
"United States",24,"Female","No Kids","phd","student",10000,"",2,0,"Village","Single",0,0,4,4,3,1,1,3,4,5,5,3,3,4,5,2,2,1,5,2,5,4,5,3,3,4,3,4,3,4,4,5,5,4,2,3,5,3,1,5,5,4,4,4,3,3,1,"yes","yes",2.6,3.53333333333333,3.75,3,0.92,"Very High"
"United States",45,"Female","No Kids","ltuni","full-time",87500,"",0,0,"Small Town","Married",0,0,3,3,3,2,3,2,3,3,5,3,1,2,2,1,2,4,4,3,3,4,4,2,3,5,1,3,1,3,2,3,4,2,3,3,3,4,3,3,1,4,3,3,3,4,3,"yes","no",2.8,2.8,2.85,3.2,0.92,"Very High"
"United States",32,"Female","Yes Kids","deg","full-time",35000,"",0,9,"Small Town","Married",1,0,5,5,5,4,4,1,2,5,4,4,5,5,3,5,5,2,4,3,4,5,5,1,4,4,5,2,5,3,5,4,3,5,4,2,4,5,5,5,5,4,3,3,3,4,1,"yes","yes",4.6,3.8,4,2.8,0.92,"Very High"
"United States",25,"Female","No Kids","deg","full-time",35000,"",3,0,"Small Town","Single",0,0,3,3,2,2,2,1,1,3,1,5,2,1,2,1,3,1,1,1,1,1,3,1,2,3,5,1,1,3,4,3,3,1,1,4,2,5,5,1,3,3,5,5,5,4,5,"no","yes",2.4,1.66666666666667,2.7,4.8,0.92,"Very High"
"United States",32,"Female","No Kids","deg","full-time",150000,"",9,0,"Village","Married",0,0,3,3,2,1,1,1,1,3,1,1,2,2,3,1,5,1,1,4,1,3,5,1,2,3,3,1,5,3,5,4,3,5,1,2,2,4,4,4,4,2,5,4,4,5,5,"yes","no",2,2,3.15,4.6,0.92,"Very High"
"United States",28,"Female","No Kids","deg","full-time",45000,"",2,0,"Village","Married",0,0,4,4,3,3,3,1,1,4,2,3,2,2,3,2,3,3,2,4,1,3,4,1,3,4,1,4,3,3,3,2,2,3,1,4,4,5,4,3,3,4,4,4,4,5,4,"yes","no",3.4,2.4,3.05,4.2,0.92,"Very High"
"United States",32,"Female","Yes Kids","ltuni","full-time",35000,"",3,3,"Small Town","Married",4,0,3,3,3,2,2,3,3,4,4,3,2,4,3,2,3,2,4,5,4,3,4,1,3,5,2,3,3,3,4,4,4,3,3,3,4,4,4,4,5,3,3,3,4,3,4,"yes","yes",2.6,3.26666666666667,3.45,3.4,0.92,"Very High"
"United States",45,"Female","Yes Kids","dip","full-time",25000,"",9,5,"8","Married",1,1,4,5,4,4,4,5,4,5,5,5,4,5,4,2,5,2,5,5,4,5,5,3,5,5,2,4,1,5,5,5,5,4,5,5,5,4,4,4,5,5,3,2,3,4,2,"yes","yes",4.2,4.33333333333333,4.3,2.8,0.92,"Very High"
"United States",45,"Female","Yes Kids","deg","full-time",87500,"",10,0,"Small Town","Married",1,1,4,3,3,2,2,2,1,2,2,2,4,2,3,2,3,4,2,2,2,3,3,2,3,2,4,4,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,4,4,"yes","no",2.8,2.4,3.4,3.8,0.92,"Very High"
"United States",32,"Male","No Kids","deg","student",15000,"",0,6,"Rural/Country","Married",0,0,4,3,3,2,2,1,2,4,4,4,4,4,3,2,4,3,3,2,3,2,4,2,3,4,2,3,3,3,4,4,4,4,2,3,4,4,2,4,4,4,3,3,3,3,2,"yes","yes",2.8,3,3.35,2.8,0.92,"Very High"
"United States",28,"Female","Yes Kids","deg","part-time",10000,"",3,6,"Large Town","Married",0,1,3,3,3,2,2,2,3,3,4,3,3,2,3,3,3,3,5,3,4,3,3,2,4,4,3,3,3,3,4,2,3,4,3,4,4,3,2,3,3,3,4,4,4,4,3,"yes","yes",2.6,3.13333333333333,3.15,3.8,0.92,"Very High"
